track_id,track_name,track_artist,track_popularity,track_album_release_date,danceability,energy,valence,track_album_release_year,track_album_release_decade
7tqhbajSfrz2F7E1Z75ASX,Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",87,1967-08-29,0.663,0.6,0.8,1967,60s
4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,Creedence Clearwater Revival,87,1969-11-02,0.64,0.663,0.663,1969,70s
6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009,The Beatles,85,1969-09-26,0.557,0.54,0.394,1969,70s
63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",The Rolling Stones,85,1966-04-15,0.464,0.795,0.612,1966,60s
3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,Van Morrison,83,1967-09,0.491,0.583,0.908,1967,60s
745H5CctFr12Mo7cqa1BMH,My Girl,The Temptations,83,1965-03-22,0.572,0.418,0.694,1965,60s
20OFwXhEXf12DzwXmaV7fj,Bad Moon Rising,Creedence Clearwater Revival,83,1969-08-03,0.508,0.774,0.942,1969,70s
4s6LhHAV5SEsOV0lC2tjvJ,California Dreamin' - Single Version,The Mamas & The Papas,82,1966-03,0.552,0.608,0.637,1966,60s
44AyOl4qVkzS48vBsbNXaC,Can't Help Falling in Love,Elvis Presley,82,1961-10-20,0.396,0.293,0.343,1961,60s
1qRA5BS78u3gME0loMl9AA,For What It's Worth,Buffalo Springfield,82,1966-12-05,0.653,0.519,0.822,1966,60s
2EqlS6tkEnglzr7tkKAAYD,Come Together - Remastered 2009,The Beatles,80,1969-09-26,0.533,0.376,0.187,1969,70s
62AuGbAkt8Ox2IrFFb8GKV,Sweet Caroline,Neil Diamond,80,1969-06-06,0.529,0.127,0.578,1969,70s
29U7stRjqHU6rMiS8BfaI9,What A Wonderful World,Louis Armstrong,80,1968-01-01,0.271,0.165,0.203,1968,60s
6H3kDe7CGoWYBabAeVWGiD,Gimme Shelter,The Rolling Stones,79,1969-12-05,0.634,0.63,0.489,1969,70s
4Hhv2vrOTy89HFRcjU3QOx,At Last,Etta James,79,1960,0.274,0.348,0.328,1960,60s
7s25THrKz86DM225dOYwnr,Respect,Aretha Franklin,78,1967-03-10,0.805,0.558,0.965,1967,60s
3BQHpFgAp4l80e1XslIjNI,Yesterday - Remastered 2009,The Beatles,79,1965-08-06,0.332,0.179,0.315,1965,60s
0xxZY5C9xxij3D1HkzbnfC,Monster Mash,"Bobby ""Boris"" Pickett, The Crypt-Kickers",78,1962,0.541,0.504,0.707,1962,60s
0iOZM63lendWRTTeKhZBSC,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,78,1968-04-03,0.606,0.457,0.813,1968,60s
1JO1xLtVc8mWhIoE3YaCL0,Happy Together,The Turtles,78,1967,0.584,0.367,0.588,1967,60s
6b6IMqP565TbtFFZg9iFf3,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,78,1965,0.667,0.599,0.971,1965,60s
5ZBeML7Lf3FMEVviTyvi8l,Twist And Shout - Remastered 2009,The Beatles,79,1963-03-22,0.482,0.849,0.937,1963,60s
0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,Led Zeppelin,78,1969-10-22,0.412,0.902,0.422,1969,70s
0bfvHnWWOeU1U5XeKyVLbW,Can't Take My Eyes off You,Frankie Valli,78,1967,0.581,0.78,0.561,1967,60s
48i055G1OT5KxGGftwFxWy,"Oh, Pretty Woman",Roy Orbison,78,1962,0.619,0.603,0.958,1962,60s
6pxWv6GV35VGmcPf5dh6CH,Proud Mary,Creedence Clearwater Revival,77,1969-01-05,0.699,0.641,0.728,1969,70s
1OppEieGNdItZbE14gLBEv,You Can't Hurry Love,The Supremes,77,1966-08-25,0.63,0.711,0.659,1966,60s
4feXcsElKIVsGwkbnTHAfV,Somethin' Stupid,Frank Sinatra,77,1967-08,0.257,0.338,0.544,1967,60s
3G7tRC24Uh09Hmp1KZ7LQ2,I'm a Believer - 2006 Remaster,The Monkees,77,1967-01-09,0.526,0.775,0.962,1967,60s
